abstract,abstract_no,drug,condition
"introduction: epidermal growth factor receptors egfr and erbb2 are overexpressed in schwannomas and meningiomas. preclinical and clinical data indicate that lapatinib, an egfr/erbb2 inhibitor, has antitumor activity against vestibular schwannomas in neurofibromatosis type 2 (nf2) patients. its antitumor activity against meningiomas, however, is unknown. methods: we conducted a retrospective review of patients with nf2 and progressive vestibular schwannomas treated on a phase 2 clinical trial with lapatinib (nct00973739). we included patients with at least one volumetrically measurable meningioma (> 0.5 cm3) who received at least five 28day courses of treatment. patients received lapatinib 1500 mg daily. meningioma response was assessed using 3dimensional mri volumetrics. progressive meningioma growth and response were defined as + 20 and − 20% change in tumor volume from baseline, respectively. offtreatment was defined as any period > 5 months without lapatinib. results: eight patients (ages: 20–58 years) who met criteria had 17 evaluable meningiomas with a combined volume of 61.35 cc at baseline, 61.17 cc during treatment, and 108.86 cc (+ 77.44% change) offtreatment, p = 0.0033. median time ontreatment and offtreatment was 15.5 and 16.7 months, respectively. ontreatment mean and median annualized growth rates were 10.67 and 1.32%, respectively. offtreatment mean and median annualized growth rates were 20.05 and 10.42%, respectively. the best volumetric response was − 26.1% after 23 months on lapatinib. two tumors increased > 20% volumetrically ontreatment, compared to eight tumors offtreatment. conclusions: these data suggest that lapatinib may have growthinhibitory effects on meningiomas in nf2 patients, and support prospective studies of lapatinib for nf2 patients with progressive meningiomas.",2843,apatinib,schwannoma
"neurofibromatosis type 2 (nf2), a neurogenetic condition manifest by peripheral nerve sheath tumors (pnst) throughout the neuroaxis for which there are no approved therapies. in vitro and in vivo studies presented here examine agents targeting signaling pathways, angiogenesis, and dna repair mechanisms. in vitro dose response assays demonstrated potent activity of lapatinib and nilotinib against the mouse schwannoma sc4 (nf2−/−) cell line. we then examined the efficacy of everolimus, nilotinib, lapatinib, bevacizumab and radiation (rt) as mono and combination therapies in flank and sciatic nerve in vivo nf2pnst models. data were analyzed using generalized linear models, two sample ttests and paired ttests, and linear regression models. sc4(nf2−/−) cells implanted in the flank or sciatic nerve showed similar rates of growth (p = 0.9748). lapatinib, nilotinib and rt significantly reduced tumor growth rate versus controls in the in vivo flank model (p = 0.0025, 0.0062, and 0.009, respectively) whereas bevacizumab and everolimus did not. the best performers were tested in the in vivo sciatic nerve model of nf2 associated pnst, where chemoradiation outperformed nilotinib or lapatinib as single agents (nilotinib vs. nilotinib + rt, p = 0.0001; lapatinib versus lapatinib + rt, p < 0.0001) with no observed toxicity. there was no regrowth of tumors even 14 days after treatment was stopped. the combination of either lapatinib or nilotinib with rt resulted in greater delays in tumor growth rate than any modality alone. this data suggest that concurrent low dose rt and targeted therapy may have a role in addressing progressive pnst in patients with nf2.",3318,apatinib,schwannoma
"medical therapy target population adults with histologically proven or suspected vestibular schwannomas with neurofibromatosis type 2 (nf2). question what is the role of bevacizumab in the treatment of patients with vestibular schwannomas? recommendations level 3: it is recommended that bevacizumab be administered in order to radiographically reduce the size or prolong tumor stability in patients with nf2 without surgical options. level 3: it is recommended that bevacizumab be administered to improve hearing or prolong time to hearing loss in patients with nf2 without surgical options. question is there a role for lapatinib, erlotinib, or everolimus in the treatment of patients with vestibular schwannomas? recommendations level 3: lapatinib may be considered for use in reducing vestibular schwannoma size and improvement in hearing in nf2. level 3: erlotinib is not recommended for use in reducing vestibular schwannoma size or improvement in hearing in patients with nf2. level 3: everolimus is not recommended for use in reducing vestibular schwannoma size or improvement in hearing in nf2. question what is the role of aspirin, to augment inflammatory response, in the treatment of patients with vestibular schwannomas? target population any patient with a vestibular schwannoma undergoing observation. recommendation level 3: it is recommended that aspirin administration may be considered for use in patients undergoing observation of their vestibular schwannomas. question is there a role for treatment of vasospasm, ie, nimodipine or hydroxyethyl starch, perioperatively to improve facial nerve outcomes in patients with vestibular schwannomas? target population adults with histologically proven or suspected vestibular schwannomas. recommendation level 3: perioperative treatment with nimodipine (or with the addition of hydroxyethyl starch) should be considered to improve postoperative facial nerve outcomes and may improve hearing outcomes. prehabilitation question is there a role for preoperative vestibular rehab or vestibular ablation with gentamicin for patients surgically treated for vestibular schwannomas? target population adults with histologically proven or suspected vestibular schwannomas. recommendations level 3: preoperative vestibular rehabilitation is recommended to aid in postoperative mobility after vestibular schwannoma surgery. level 3: preoperative gentamicin ablation of the vestibular apparatus should be considered to improve postoperative mobility after vestibular schwannoma surgery. surgical therapy question does endoscopic assistance make a difference in resection or outcomes in patients with vestibular schwannomas? target population vestibular schwannoma patients, who are surgical candidates. inclusion in this analysis required resection utilizing the endoscope, either as the primary operative visualization or microscopic assistance with more than 20 patients treated. recommendation level 3: endoscopic assistance is a surgical technique that the surgeon may choose to use in order to aid in visualization. the full guideline can be found at: https://www.cns.org/guidelines/guidelinesmanagementpatientsvestibularschwannoma/chapter9.",3792,apatinib,schwannoma
"purpose: to describe the natural growth of vestibular schwannoma in patients with neurofibromatosis type 2 and to predict tumor volume evolution in patients treated with bevacizumab and everolimus. methods: clinical data, including longitudinal tumor volumes in patients treated by bevacizumab (n = 13), everolimus (n = 7) or both (n = 2), were analyzed by means of mathematical modeling techniques. together with clinical data, data from the literature were also integrated to account for drugs mechanisms of action. results: we developed a model of vestibular schwannoma growth that takes into account the effect of vascular endothelial growth factors and mammalian target of rapamycin complex 1 on tumor growth. behaviors, such as tumor growth rebound following everolimus treatment stops, was correctly described with the model. preliminary results indicate that the model can be used to predict, based on early tumor volume dynamic, tumor response to variation in treatment dose and regimen. conclusion: the developed model successfully describes tumor volume growth before and during bevacizumab and/or everolimus treatment. it might constitute a rational tool to predict patients’ response to these drugs, thus potentially improving management of this disease.",45,everolimus,schwannoma
"neurofibromatosis type 2 (nf2) is a genetic disorder with bilateral vestibular schwannomas (vs) as the most frequent manifestation. merlin, the nf2 tumor suppressor, was identified as a negative regulator of mammalian target of rapamycin complex 1. preclinical data in mice showed that mtorc1 inhibition delayed growth of nf2schwannomas. we conducted a prospective singleinstitution openlabel phase ii study to evaluate the effects of everolimus in ten nf2 patients with progressive vs. drug activity was monitored every 3 months. everolimus was administered orally for 12 months and, if the decrease in tumor volume was >20 % from baseline, treatment was continued for 12 additional months. other patients stopped when completed 12 months of everolimus but were allowed to resume treatment when vs volume was >20 % during 1 year followup. nine patients were evaluable. safety was evaluated using ctcae 3.0 criteria. after 12 months of everolimus, no reduction in volume ≥20 % was observed. four patients had progressive disease, and five patients had stable disease with a median annual growth rate decreasing from 67 %/year before treatment to 0.5 %/year during treatment. in these patients, tumor growth resumed within 3–6 months after treatment discontinuation. everolimus was then reintroduced and vs decreased by a median 6.8 % at 24 months. time to tumor progression increased threefold from 4.2 months before treatment to > 12 months. hearing was stable under treatment. the safety of everolimus was manageable. although the primary endpoint was not reached, further studies are required to confirm the potential for stabilization of everolimus.",1448,everolimus,schwannoma
"neurofibromatosis type 2 ( nf2; mim # 101000) is an autosomal dominant disorder characterized by the development of vestibular schwannomas (vss); schwannomas of other cranial, spinal, and cutaneous nerves; cranial and spinal meningiomas or other central nervous system tumors (eg, ependymomas and astrocytomas) or both. additional features include eye (eg, early onset cataracts, optic nerve sheath meningiomas, retinal or pigment epithelial hamartomas or both, and epithelial retinal membranes) and skin abnormalities (eg, flat dermal [nf2 plaques] or spherical subcutaneous nodular schwannomas or both, and few, atypical caféaulait spots). clinically, children with nf2 fall into 2 main groups: (1) congenital nf2 with bilateral vss detected as early as the first days to months of life, which can be stable or asymptomatic for 12 decades and suddenly progress; and (2) severe prepubertal (wishart type) nf2 with multiple (and rapidly progressive) central nervous system tumors otherthanvs, which usually presents first, years before vss, both associated with more marked skin and eye involvement (vs the classical mild adult [gardner type] nf2, with bilateral vss presenting in young adulthood, sometimes as the only disease feature). individuals manifesting unilateral vs associated with ipsilateral meningiomas or multiple schwannomas localized to a part of the peripheral nervous system have mosaic or segmental nf2; individuals developing multiple nonvs, nonintradermal cranial, spinal, and peripheral schwannomas (histologically proven) have schwannomatosis ( swnts). nf2 is caused by mutations in the nf2 gene at chromosome 22q12.1, which encodes for a protein called merlin or schwannomin, most similar to the exrinreadixinmoesin proteins; mosaic or segmental nf2 is because of mosaic phenomena for the nf2 gene, whereas swnts is caused by germline and possibly mosaic mutations either in the smarcb1 gene (. swnts1; mim # 162091) or the lztr1 gene (swnts2; mim # 615670), both falling within the 22q region. data driven from in vitro and animal studies on the merlin pathway allowed biologically targeted treatment strategies (employing lapatinib, erlotinib, everolimus, picropodophyllin, osu.03012, imatinib, sorafenib, and bevacizumab) aimed at multiple tumor shrinkage or regression or both and tumor arrest of progression with functional improvement.",1549,everolimus,schwannoma
"the understanding of the molecular pathways underlying tumor development in neurofibromatosis type 2 (nf2) is increasing. thus, repositioning drugs, drug therapies that are already clinically available for various cancers, appear potentially promising for nf2 patients. based on preclinical data from in vitro or animal models, five different treatments have been proposed for selected nf2 cases. evaluation of bevacizumab, a monoclonal antibody against vegf has mainly been reported in retrospective studies; it has been reported to induce hearing improvement and tumor shrinkage in more than 50% of progressive vestibular schwannomas (vs). in our experience with 16 patients, bevacizumab is associated with an increase of median time to tumor progression of vs from 5.6 months before bevacizumab onset, to more than 29.3 months. the need for intravenous injections and long term adverse events (hypertension, proteinuria, hemorrhage) are the main drawbacks. lapatinib seemed promising in a single phase ii trial with a volumetric response observed in 4/17 patients and a hearing response in 4/13, but is not currently used in clinical practice. erlotinib has not been associated with radiographic or hearing responses in a phase ii trial. everolimus has been evaluated in 3 phase ii trials. everolimus did not induced tumor shrinkage, but seems to be able to increase time to tumor progression in selected cases. currently, bevacizumab is the only drug proposed to selected nf2 patients.",2421,everolimus,schwannoma
"backgroundactivation of the mammalian target of rapamycin (mtor) signaling pathway is thought to be a key driver of tumor growth in merlin (nf2)deficient tumors. everolimus is an oral inhibitor of mtor complex 1 (mtorc1) with antitumor activity in a variety of cancers.methodswe conducted a singleinstitution, prospective, 2stage, openlabel phase ii study to estimate the response rate to everolimus in neurofibromatosis type 2 (nf2) patients with progressive vestibular schwannoma (vs). ten eligible patients were enrolled, including 2 pediatric patients. everolimus was administered at a daily dose of 10 mg (adults) or 5 mg/m2/day (children <18 y) orally in continuous 28day courses, for up to 12 courses. response was assessed every 3 months with mri, using 3dimensional volumetric tumor analysis, and audiograms. nine patients were evaluable for the primary response, defined as ≥15% decrease in vs volume. hearing response was evaluable as a secondary endpoint in 8 patients.resultsnone of the 9 patients with evaluable disease experienced a clinical or mri response. no objective imaging or hearing responses were observed in stage 1 of the trial, and the study was closed according to predefined stopping rules.conclusioneverolimus is ineffective for the treatment of progressive vs in nf2 patients. we are currently conducting a pharmacokinetic/pharmacodynamic (""phase 0"") study of everolimus in presurgical vs patients to elucidate the biological basis for apparent treatment resistance to mtorc1 inhibition in these tumors. © 2013 © the author(s) 2013.",2707,everolimus,schwannoma
"neurofibromatosis type 2 (nf2), a neurogenetic condition manifest by peripheral nerve sheath tumors (pnst) throughout the neuroaxis for which there are no approved therapies. in vitro and in vivo studies presented here examine agents targeting signaling pathways, angiogenesis, and dna repair mechanisms. in vitro dose response assays demonstrated potent activity of lapatinib and nilotinib against the mouse schwannoma sc4 (nf2−/−) cell line. we then examined the efficacy of everolimus, nilotinib, lapatinib, bevacizumab and radiation (rt) as mono and combination therapies in flank and sciatic nerve in vivo nf2pnst models. data were analyzed using generalized linear models, two sample ttests and paired ttests, and linear regression models. sc4(nf2−/−) cells implanted in the flank or sciatic nerve showed similar rates of growth (p = 0.9748). lapatinib, nilotinib and rt significantly reduced tumor growth rate versus controls in the in vivo flank model (p = 0.0025, 0.0062, and 0.009, respectively) whereas bevacizumab and everolimus did not. the best performers were tested in the in vivo sciatic nerve model of nf2 associated pnst, where chemoradiation outperformed nilotinib or lapatinib as single agents (nilotinib vs. nilotinib + rt, p = 0.0001; lapatinib versus lapatinib + rt, p < 0.0001) with no observed toxicity. there was no regrowth of tumors even 14 days after treatment was stopped. the combination of either lapatinib or nilotinib with rt resulted in greater delays in tumor growth rate than any modality alone. this data suggest that concurrent low dose rt and targeted therapy may have a role in addressing progressive pnst in patients with nf2.",3318,everolimus,schwannoma
"medical therapy target population adults with histologically proven or suspected vestibular schwannomas with neurofibromatosis type 2 (nf2). question what is the role of bevacizumab in the treatment of patients with vestibular schwannomas? recommendations level 3: it is recommended that bevacizumab be administered in order to radiographically reduce the size or prolong tumor stability in patients with nf2 without surgical options. level 3: it is recommended that bevacizumab be administered to improve hearing or prolong time to hearing loss in patients with nf2 without surgical options. question is there a role for lapatinib, erlotinib, or everolimus in the treatment of patients with vestibular schwannomas? recommendations level 3: lapatinib may be considered for use in reducing vestibular schwannoma size and improvement in hearing in nf2. level 3: erlotinib is not recommended for use in reducing vestibular schwannoma size or improvement in hearing in patients with nf2. level 3: everolimus is not recommended for use in reducing vestibular schwannoma size or improvement in hearing in nf2. question what is the role of aspirin, to augment inflammatory response, in the treatment of patients with vestibular schwannomas? target population any patient with a vestibular schwannoma undergoing observation. recommendation level 3: it is recommended that aspirin administration may be considered for use in patients undergoing observation of their vestibular schwannomas. question is there a role for treatment of vasospasm, ie, nimodipine or hydroxyethyl starch, perioperatively to improve facial nerve outcomes in patients with vestibular schwannomas? target population adults with histologically proven or suspected vestibular schwannomas. recommendation level 3: perioperative treatment with nimodipine (or with the addition of hydroxyethyl starch) should be considered to improve postoperative facial nerve outcomes and may improve hearing outcomes. prehabilitation question is there a role for preoperative vestibular rehab or vestibular ablation with gentamicin for patients surgically treated for vestibular schwannomas? target population adults with histologically proven or suspected vestibular schwannomas. recommendations level 3: preoperative vestibular rehabilitation is recommended to aid in postoperative mobility after vestibular schwannoma surgery. level 3: preoperative gentamicin ablation of the vestibular apparatus should be considered to improve postoperative mobility after vestibular schwannoma surgery. surgical therapy question does endoscopic assistance make a difference in resection or outcomes in patients with vestibular schwannomas? target population vestibular schwannoma patients, who are surgical candidates. inclusion in this analysis required resection utilizing the endoscope, either as the primary operative visualization or microscopic assistance with more than 20 patients treated. recommendation level 3: endoscopic assistance is a surgical technique that the surgeon may choose to use in order to aid in visualization. the full guideline can be found at: https://www.cns.org/guidelines/guidelinesmanagementpatientsvestibularschwannoma/chapter9.",3792,everolimus,schwannoma
"lithium is considered a firstline therapy for the treatment of bipolar disorder and was recently shown to be associated with a reduced overall cancer risk. a growing body of evidence has indicated the potential antitumor benefits of this drug. lithium likely functions as an antitumor agent. in this study, we found that lithium chloride (licl) significantly inhibits the proliferation of both rt4 cells and human nf2associated primary schwannoma cells by inhibiting the expression of apoptosisrelated proteins. liclinduced cell death exhibits ultrastructural features of necrosis and is reversed by the ripk1specific inhibitor necrostatin1 in a dosedependent manner, indicating that licl induces the necroptosis type of cell death. moreover, licl treatment induces ros generation and activates the akt/mtor pathway, which is reversed by necrostatin1 treatment. based on our results, licl treatment may induce the programmed cell death of schwannoma cells through akt and mtormediated necroptosis, potentially representing a new mechanism by which licl induces tumor cell death. moreover, licl may prove to be a new drug for treating schwannoma.",4658,necrostatin,schwannoma
"loss of the tumor suppressor merlin causes development of the tumors of the nervous system, such as schwannomas, meningiomas, and ependymomas occurring spontaneously or as part of a hereditary disease neurofibromatosis type 2 (nf2). current therapies, (radio) surgery, are not always effective. therefore, there is a need for drug treatments for these tumors. schwannomas are the most frequent of merlindeficient tumors and are hallmark for nf2. using our in vitro human schwannoma model, we demonstrated that merlindeficiency leads to increased proliferation, cellmatrix adhesion, and survival. increased proliferation due to strong activation of extracellularsignalregulated kinase 1/2 (erk1/2) is caused by overexpression/activation of plateletderived growth factor receptorβ (pdgfrβ) and erbb2/3 which we successfully blocked with azd6244, sorafenib, or lapatinib. schwannoma basal proliferation is, however, only partly dependent on pdgfrβ and is completely independent of erbb2/3. moreover, the mechanisms underlying pathological cellmatrix adhesion and survival of schwannoma cells are still not fully understood. here, we demonstrate that insulinlike growth factori receptor (igfir) is strongly overexpressed and activated in human primary schwannoma cells. igfi and ii are overexpressed and released from schwannoma cells. we show that erk1/2 is relevant for igfimediated increase in proliferation and cellmatrix adhesion, cjun nterminal kinases for increased proliferation and akt for survival. we demonstrate new mechanisms involved in increased basal proliferation, cellmatrix adhesion, and survival of schwannoma cells. we identified therapeutic targets igfir and downstream pi3k for treatment of schwannoma and other merlindeficient tumors and show usefulness of small molecule inhibitors in our model. pi3k is relevant for both igfir and previously described pdgfrβ signaling in schwannoma. © 2012 wiley periodicals, inc.",683,sorafenib,schwannoma
"loss of the tumor suppressor merlin is a cause of frequent tumors of the nervous system, such as schwannomas, meningiomas, and ependymomas, which occur spontaneously or as part of neurofibromatosis type 2 (nf2). because there is medical need for drug therapies for these tumors, our aim is to find therapeutic targets. we have studied the pathobiology of schwannomas, because they are the most common merlindeficient tumors and are a model for all merlindeficient tumors. with use of a human schwannoma in vitro model, we previously described strong overexpression/activation of plateletderived growth factor receptorß (pdgfrb) leading to strong, longlasting activation of extracellularsignal regulated kinase (erk1/2) and akt and increased schwannoma growth, which we successfully inhibited using the pdgfr/raf inhibitor sorafenib. however, the benign character of schwannomas may require longterm treatment; thus, drug tolerability is an issue. with the use of western blotting, proliferation assays, viability assays, and a primary human schwannoma cell in vitro model, we tested the pdgfr/ckit inhibitors imatinib (glivec; novartis) and nilotinib (tasigna; novartis). imatinib and nilotinib inhibited pdgfddmediated erk1/2 activation, basal and pdgfddmediated activation of pdgfrß and akt, and schwannoma proliferation. nilotinib is more potent than imatinib, exerting its maximal inhibitory effect at concentrations lower than steadystate trough plasma levels. in addition, nilotinib combined with the mek1/2 inhibitor selumetinib (azd6244) at low concentrations displayed stronger efficiency toward tumor growth inhibition, compared with nilotinib alone. we suggest that therapy with nilotinib or combinational therapy that simultaneously inhibits pdgfr and the downstream raf/mek1/2/erk1/2 pathway could represent an effective treatment for schwannomas and other merlindeficient tumors. © the author(s) 2011.",870,sorafenib,schwannoma
"neurofibromatosis type 2 ( nf2; mim # 101000) is an autosomal dominant disorder characterized by the development of vestibular schwannomas (vss); schwannomas of other cranial, spinal, and cutaneous nerves; cranial and spinal meningiomas or other central nervous system tumors (eg, ependymomas and astrocytomas) or both. additional features include eye (eg, early onset cataracts, optic nerve sheath meningiomas, retinal or pigment epithelial hamartomas or both, and epithelial retinal membranes) and skin abnormalities (eg, flat dermal [nf2 plaques] or spherical subcutaneous nodular schwannomas or both, and few, atypical caféaulait spots). clinically, children with nf2 fall into 2 main groups: (1) congenital nf2 with bilateral vss detected as early as the first days to months of life, which can be stable or asymptomatic for 12 decades and suddenly progress; and (2) severe prepubertal (wishart type) nf2 with multiple (and rapidly progressive) central nervous system tumors otherthanvs, which usually presents first, years before vss, both associated with more marked skin and eye involvement (vs the classical mild adult [gardner type] nf2, with bilateral vss presenting in young adulthood, sometimes as the only disease feature). individuals manifesting unilateral vs associated with ipsilateral meningiomas or multiple schwannomas localized to a part of the peripheral nervous system have mosaic or segmental nf2; individuals developing multiple nonvs, nonintradermal cranial, spinal, and peripheral schwannomas (histologically proven) have schwannomatosis ( swnts). nf2 is caused by mutations in the nf2 gene at chromosome 22q12.1, which encodes for a protein called merlin or schwannomin, most similar to the exrinreadixinmoesin proteins; mosaic or segmental nf2 is because of mosaic phenomena for the nf2 gene, whereas swnts is caused by germline and possibly mosaic mutations either in the smarcb1 gene (. swnts1; mim # 162091) or the lztr1 gene (swnts2; mim # 615670), both falling within the 22q region. data driven from in vitro and animal studies on the merlin pathway allowed biologically targeted treatment strategies (employing lapatinib, erlotinib, everolimus, picropodophyllin, osu.03012, imatinib, sorafenib, and bevacizumab) aimed at multiple tumor shrinkage or regression or both and tumor arrest of progression with functional improvement.",1549,sorafenib,schwannoma
"atrial fibrillation (afib) is the most common cardiac arrhythmia which is associated with an increased risk of mortality secondary to stroke and coronary artery disease. intravenous glucocorticoid therapy (such as dexamethasone and hydrocortisone) is frequently used perioperatively in patients undergoing cardiac surgery to prevent afib. dexamethasone is also frequently used in patients with single or bilateral vestibular schwannomas (vs), to reduce tumor swelling both before and after radiation treatment. we describe a case of afib in a 50 yearold female patient with neurofibromatosis type 2 (nf2), who was prescribed dexamethasone for postradiation tumor edema.",4743,hydrocortisone,schwannoma
"after nerve injury, schwann cells (scs) dedifferentiate, proliferate, and support axon regrowth. if axons fail to regenerate, denervated scs eventually undergo apoptosis due, in part, to increased expression of the lowaffinity neurotrophin receptor, p75ntr. merlin is the protein product of the nf2 tumor suppressor gene implicated in sc tumorigenesis. here we explore the contribution of merlin to sc responses to nerve injury. we find that merlin becomes phosphorylated (growth permissive) in scs following acute axotomy and following gradual neural degeneration in a deafness model, temporally correlated with increased p75ntr expression. p75ntr levels are elevated in p0schδ39121 transgenic mice that harbor an nf2 mutation in scs relative to wildtype mice before axotomy and remain elevated for a longer period of time following injury. replacement of wildtype, but not phosphomimetic (s518d), merlin isoforms suppresses p75ntr expression in primary human schwannoma cultures which otherwise lack functional merlin. despite elevated levels of p75ntr, sc apoptosis following axotomy is blunted in p0schδ39121 mice relative to wildtype mice suggesting that loss of functional merlin contributes to sc resistance to apoptosis. further, cultured scs from mice with a tamoxifeninducible knockout of nf2 confirm that scs lacking functional merlin are less sensitive to p75ntrmediated cell death. taken together these results point to a model whereby loss of axonal contact following nerve injury results in merlin phosphorylation leading to increased p75ntr expression. further, they demonstrate that merlin facilitates p75ntrmediated apoptosis in scs helping to explain how neoplastic scs that lack functional merlin survive longterm in the absence of axonal contact.",831,tamoxifen,schwannoma
"neurofibromatosis type 2 (nf2) is a genetic syndrome that predisposes individuals to multiple benign tumors of the central and peripheral nervous systems, including vestibular schwannomas. currently, there are no fda approved drug therapies for nf2. loss of function of merlin encoded by the nf2 tumor suppressor gene leads to activation of multiple mitogenic signaling cascades, including plateletderived growth factor receptor (pdgfr) and src in schwann cells. the goal of this study was to determine whether ponatinib, an fdaapproved abl/src inhibitor, reduced proliferation and/or survival of merlindeficient human schwann cells (hsc). merlindeficient hsc had higher levels of phosphorylated pdgfrα/β, and src than merlinexpressing hsc. a similar phosphorylation pattern was observed in phosphoprotein arrays of human vestibular schwannoma samples compared to normal hsc. ponatinib reduced merlindeficient hsc viability in a dosedependent manner by decreasing phosphorylation of pdgfrα/β, akt, p70s6k, mek1/2, erk1/2 and stat3. these changes were associated with decreased cyclin d1 and increased p27kip1levels, leading to a g1 cellcycle arrest as assessed by western blotting and flow cytometry. ponatinib did not modulate abl, src, focal adhesion kinase (fak), or paxillin phosphorylation levels. these results suggest that ponatinib is a potential therapeutic agent for nf2associated schwannomas and warrants further in vivo investigation.",4398,ponatinib,schwannoma
"hypothesis: to investigate the early events in molecular progression toward schwannoma tumorigenesis, we developed an in vitro model of human schwann cell tumorigenesis by merlin knockdown. background: neurofibromatosis 2 (nf2)related and sporadic vestibular schwannoma (vs) exhibit loss of functional merlin (schwannomin). after loss of merlin expression in the schwann cell, the initial steps toward vs tumorigenesis are unknown. merlin, a putative tumor suppressor protein, interacts with many cellular proteins, regulating their function. among these are receptor tyrosine kinases, including the epidermal growth factor receptor family b (erbb) family receptors epidermal growth factor receptor and erbb2. functional merlin interacts with and internalizes these growth factor receptors, silencing their proliferation and survival signaling. deregulation of cd44, the cell adhesion/signaling molecule and cancer stem cell marker, has also been implicated in vs tumorigenesis. methods: merlin knockdown was performed using small interfering rna transfection into human schwann cell primary cultures. knockdown was confirmed by realtime quantitative pcr, immunofluorescence, and western analysis. expression profiles of erbb, merlin, and the stem cell markers nestin and cd44 were examined in knockdowns. proliferation rate was assessed with bromodeoxyuridine incorporation, and radiation sensitivity was assessed using the annexin assay in knockdowns versus controls. results: merlin knockdowns demonstrated increased proliferation rate, upregulation of epidermal growth factor receptor, erbb2, and erbb3, cd44, and nestin. shortterm merlin depletion had no effect on γ irradiation sensitivity compared with controls. conclusion: merlin depletion results in deregulation of erbb receptor signaling, promotes a dedifferentiated state, and increases schwann cell proliferation, suggesting critical steps toward schwannoma tumorigenesis. © 2010, otology & neurotology, inc.",2377,uridine,schwannoma
"meningiomas are rare in children. they are highly complex, harboring unique clinical and pathological characteristics, and many occur in patients with neurofibromatosis type 2. hereby, we present a case of a twoyearold boy presented with a diagnostically challenging intraventricular tumor. it was incompletely resected 6 times over 14 months but kept progressing and was ultimately deemed unresectable. histologically, the tumor was initially classified as schwannoma, but extensive international review concluded it was most likely an atypical meningioma, who grade ii. comprehensive genomic profiling revealed a tfgros1 fusion, suggesting that ros1signaling pathway alterations were driving the tumor growth. in light of this new information, the possibility of a diagnosis of inflammatory myofibroblastic tumor was considered; however the histopathological results were not conclusive. this specific molecular finding allowed the potential use of precision medicine and the patient was enrolled in the acsé phase 2 trial with crizotinib (nct02034981), leading to a prolonged partial tumor response which is persisting since 14 months. this case highlights the value of precision cancer medicine in children.",1271,crizotinib,schwannoma
"neurofibromatosis type ii (nf2) is a disease that needs new solutions. vestibular schwannoma (vs) growth causes progressive hearing loss, and the standard treatment, including surgery and radiotherapy, can further damage the nerve. there is an urgent need to identify an adjunct therapy that, by enhancing the efficacy of radiation, can help lower the radiation dose and preserve hearing. the mechanisms underlying deafness in nf2 are still unclear. one of the major limitations in studying tumorinduced hearing loss is the lack of mouse models that allow hearing testing. here, we developed a cerebellopontine angle (cpa) schwannoma model that faithfully recapitulates the tumorinduced hearing loss. using this model, we discovered that cmet blockade by crizotinib (crz) enhanced schwannoma radiosensitivity by enhancing dna damage, and crz treatment combined with lowdose radiation was as effective as highdose radiation. crz treatment had no adverse effect on hearing; however, it did not affect tumorinduced hearing loss, presumably because cmet blockade did not change tumor hepatocyte growth factor (hgf) levels. this cmet gene knockdown study independently confirmed the role of the cmet pathway in mediating the effect of crz. furthermore, we evaluated the translational potential of cmet blockade in human schwannomas. we found that human nf2associated and sporadic vss showed significantly elevated hgf expression and cmet activation compared with normal nerves, which correlated with tumor growth and cyst formation. using organoid brain slice culture, cmet blockade inhibited the growth of patientderived schwannomas. our findings provide the rationale and necessary data for the clinical translation of combined cmet blockade with radiation therapy in patients with nf2.",1533,crizotinib,schwannoma
"neurofibromatosis type 2 (nf2) is a dominantly inherited autosomal disease characterized by schwannomas of the 8th cranial nerve. the nf2 tumor suppressor gene encodes for merlin, a protein implicated as a suppressor of multiple cellular signaling pathways. to identify potential drug targets in nf2associated malignancies we assessed the consequences of inhibiting the tyrosine kinase receptor met. we identified crizotinib, a met and alk inhibitor, as a potent inhibitor of nf2null schwann cell proliferation in vitro and tumor growth in vivo. to identify the target/s of crizotnib we employed activitybased protein profiling (abpp), leading to identification of fak1 (ptk2) as the relevant target of crizotinib inhibition in nf2null schwannoma cells. subsequent studies confirm that inhibition of fak1 is sufficient to suppress tumorigenesis in animal models of nf2 and that crizotinibresistant forms of fak1 can rescue the effects of treatment. these studies identify a fda approved drug as a potential treatment for nf2 and delineate the mechanism of action in nf2null schwann cells.",2905,crizotinib,schwannoma
"schwannomas are predominantly benign nerve sheath neoplasms caused by nf2 gene inactivation. presently, treatment options are mainly limited to surgical tumor resection due to the lack of effective pharmacological drugs. although the mechanistic understanding of nf2 gene function has advanced, it has so far been primarily restricted to schwann cellintrinsic events. extracellular cues determining schwann cell behavior with regard to schwannoma development remain unknown. here we show protumourigenic microenvironmental effects on schwann cells where an altered axonal microenvironment in cooperation with injury signals contribute to a persistent regenerative schwann cell response promoting schwannoma development. specifically in genetically engineered mice following crush injuries on sciatic nerves, we found macroscopic nerve swellings in mice with homozygous nf2 gene deletion in schwann cells and in animals with heterozygous nf2 knockout in both schwann cells and axons. however, patientmimicking schwannomas could only be provoked in animals with combined heterozygous nf2 knockout in schwann cells and axons. we identified a severe remyelination defect and sustained macrophage presence in the tumor tissue as major abnormalities. strikingly, treatment of tumordeveloping mice after nerve crush injury with mediumdose aspirin significantly decreased schwannoma progression in this disease model. our results suggest a multifactorial concept for schwannoma formation—emphasizing axonal factors and mechanical nerve irritation as predilection site for schwannoma development. furthermore, we provide evidence supporting the potential efficacy of antiinflammatory drugs in the treatment of schwannomas.",3567,aspirin,schwannoma
